Departamento,Mes,Monto
AMAZONAS,1,61022151.04
AMAZONAS,2,65864603.83
AMAZONAS,3,93391833.96
AMAZONAS,4,90613997.66999999
AMAZONAS,5,100224940.36
AMAZONAS,6,96692500.34
AMAZONAS,7,108435209.02
AMAZONAS,8,111077442.75000001
AMAZONAS,9,107536958.19000001
AMAZONAS,10,97373817.92
AMAZONAS,11,132973734.48
AMAZONAS,12,264203211.21999997
ANCASH,1,125568105.94
ANCASH,2,152300078.25000003
ANCASH,3,193249886.83999997
ANCASH,4,181009565.09
ANCASH,5,215128442.32000002
ANCASH,6,224261657.65
ANCASH,7,252533799.29000002
ANCASH,8,217974060.87
ANCASH,9,229668912.04999998
ANCASH,10,216338087.01000002
ANCASH,11,258281684.35000002
ANCASH,12,501681758.15000004
APURIMAC,1,61947639.04
APURIMAC,2,102991203.80000001
APURIMAC,3,110118393.36
APURIMAC,4,103567606.63000001
APURIMAC,5,121476662.35
APURIMAC,6,130482753.75
APURIMAC,7,154583172.8
APURIMAC,8,118749815.58
APURIMAC,9,137383115.23000002
APURIMAC,10,141364396.1
APURIMAC,11,166939251.41000003
APURIMAC,12,326669191.16
AREQUIPA,1,160880147.19
AREQUIPA,2,229662886.29999998
AREQUIPA,3,244597944.01000002
AREQUIPA,4,216143279.42
AREQUIPA,5,426396663.31
AREQUIPA,6,283834834.27
AREQUIPA,7,317280678.73999995
AREQUIPA,8,295098893.96
AREQUIPA,9,306989835.97999996
AREQUIPA,10,287784634.77
AREQUIPA,11,296036049.36
AREQUIPA,12,549152599.26
AYACUCHO,1,82935078.44
AYACUCHO,2,108012137.02
AYACUCHO,3,142243481.42000002
AYACUCHO,4,154925283.32
AYACUCHO,5,167992494.73000002
AYACUCHO,6,164439275.57
AYACUCHO,7,210530011.19
AYACUCHO,8,172805791.13
AYACUCHO,9,189010534.72
AYACUCHO,10,214728722.55
AYACUCHO,11,209657419.04999998
AYACUCHO,12,449227987.52
CAJAMARCA,1,157266936.66
CAJAMARCA,2,205197785.6
CAJAMARCA,3,273670221.61
CAJAMARCA,4,249033354.32
CAJAMARCA,5,259694148.45000002
CAJAMARCA,6,257202851.47
CAJAMARCA,7,336924764.58
CAJAMARCA,8,295223720.65999997
CAJAMARCA,9,326405036.21
CAJAMARCA,10,295576096.98
CAJAMARCA,11,356017303.07
CAJAMARCA,12,572465916.0600001
CUSCO,1,143167647.2
CUSCO,2,221530344.45
CUSCO,3,323528556.05
CUSCO,4,266845344.67
CUSCO,5,326553300.85
CUSCO,6,331304221.87
CUSCO,7,366373614.82
CUSCO,8,337187190.09000003
CUSCO,9,367997601.02000004
CUSCO,10,365238112.26
CUSCO,11,378799899.16999996
CUSCO,12,763115501.0100001
HUANCAVELICA,1,54795188.14
HUANCAVELICA,2,76464078.72999999
HUANCAVELICA,3,107720140.92
HUANCAVELICA,4,97741851.88
HUANCAVELICA,5,124921075.35
HUANCAVELICA,6,133310006.17
HUANCAVELICA,7,140759394.4
HUANCAVELICA,8,130081149.02
HUANCAVELICA,9,148190293.83
HUANCAVELICA,10,150751166.53
HUANCAVELICA,11,160355151.14
HUANCAVELICA,12,338226818.08000004
HUANUCO,1,81358409.29
HUANUCO,2,102376770.75999999
HUANUCO,3,137454666.69
HUANUCO,4,126151030.23
HUANUCO,5,142418118.17
HUANUCO,6,141797458.47
HUANUCO,7,177933222.15
HUANUCO,8,167282900.78
HUANUCO,9,187685565.18999997
HUANUCO,10,169835577.07
HUANUCO,11,196116471.97
HUANUCO,12,414512609.98999995
ICA,1,89386171.13
ICA,2,119821919.33
ICA,3,123310019.78999999
ICA,4,122588259.07
ICA,5,133579122.29
ICA,6,126154085.88
ICA,7,146261451.34
ICA,8,137029707.25
ICA,9,121605205.08999999
ICA,10,117224225.09
ICA,11,154273460.56
ICA,12,245224155.26
JUNIN,1,125853270.11000001
JUNIN,2,143836705.05
JUNIN,3,230252521.21999997
JUNIN,4,213273817.99
JUNIN,5,215969750.27
JUNIN,6,200308111.01
JUNIN,7,282316477.13
JUNIN,8,235378841.83999997
JUNIN,9,259541596.11999997
JUNIN,10,240091975.19
JUNIN,11,270190328.58
JUNIN,12,522686356.15999997
LA LIBERTAD,1,153643254.49
LA LIBERTAD,2,193873499.74999997
LA LIBERTAD,3,266603726.13000003
LA LIBERTAD,4,231686048.48999998
LA LIBERTAD,5,252648159.13000003
LA LIBERTAD,6,259584092.45999998
LA LIBERTAD,7,316911276.73
LA LIBERTAD,8,276760158.0
LA LIBERTAD,9,324251828.82000005
LA LIBERTAD,10,302688951.35
LA LIBERTAD,11,322752977.61
LA LIBERTAD,12,595836026.87
LAMBAYEQUE,1,112124262.69
LAMBAYEQUE,2,130770346.66
LAMBAYEQUE,3,169029411.60999998
LAMBAYEQUE,4,165814294.3
LAMBAYEQUE,5,169414921.76
LAMBAYEQUE,6,189153363.03000003
LAMBAYEQUE,7,198511067.85
LAMBAYEQUE,8,169585270.63
LAMBAYEQUE,9,175260998.89000002
LAMBAYEQUE,10,185397487.97000003
LAMBAYEQUE,11,171176232.15
LAMBAYEQUE,12,311672826.78
LIMA,1,5602323892.82
LIMA,2,9585550371.54
LIMA,3,6928366030.44
LIMA,4,8495016422.69
LIMA,5,6674793259.27
LIMA,6,6595061293.72
LIMA,7,6978475881.52
LIMA,8,10126643677.64
LIMA,9,7330023488.41
LIMA,10,7157142216.910001
LIMA,11,7182246190.52
LIMA,12,13326601757.529999
LORETO,1,124229714.84
LORETO,2,158460858.09
LORETO,3,203059881.71999997
LORETO,4,178996079.88
LORETO,5,184818966.38
LORETO,6,208343032.22
LORETO,7,198698475.76
LORETO,8,192180327.11999997
LORETO,9,258463673.61
LORETO,10,185333789.95000002
LORETO,11,237849446.97000003
LORETO,12,312260668.44
MADRE DE DIOS,1,22585351.500000004
MADRE DE DIOS,2,23269633.49
MADRE DE DIOS,3,30335930.720000003
MADRE DE DIOS,4,24795212.86
MADRE DE DIOS,5,27826159.86
MADRE DE DIOS,6,33153421.699999996
MADRE DE DIOS,7,35863261.26
MADRE DE DIOS,8,35474902.07
MADRE DE DIOS,9,42431892.86
MADRE DE DIOS,10,42972328.72
MADRE DE DIOS,11,40763832.17999999
MADRE DE DIOS,12,91303497.13
MOQUEGUA,1,38519481.86
MOQUEGUA,2,50117421.839999996
MOQUEGUA,3,92881918.53999999
MOQUEGUA,4,55521143.120000005
MOQUEGUA,5,76813288.68
MOQUEGUA,6,74117800.14999999
MOQUEGUA,7,65259913.61
MOQUEGUA,8,85399330.35999998
MOQUEGUA,9,73516562.03
MOQUEGUA,10,65907527.99
MOQUEGUA,11,84753135.17000002
MOQUEGUA,12,150580787.07
PASCO,1,31228116.18
PASCO,2,66107250.48
PASCO,3,79604572.08999999
PASCO,4,54106439.199999996
PASCO,5,68432221.05
PASCO,6,65252886.879999995
PASCO,7,87615380.67999999
PASCO,8,79824208.06
PASCO,9,91043389.30000001
PASCO,10,60327105.78
PASCO,11,96343368.74
PASCO,12,164694276.76
PIURA,1,160964369.75
PIURA,2,209272202.10999998
PIURA,3,259925221.66000003
PIURA,4,219272544.76
PIURA,5,248515667.65
PIURA,6,235458679.2
PIURA,7,286653952.86
PIURA,8,269961309.94
PIURA,9,283973778.62
PIURA,10,292960709.06000006
PIURA,11,314790283.41999996
PIURA,12,616092912.81
PROVINCIA CONSTITUCIONAL DEL CALLAO,1,238703246.64000002
PROVINCIA CONSTITUCIONAL DEL CALLAO,2,284505891.07000005
PROVINCIA CONSTITUCIONAL DEL CALLAO,3,383198034.81
PROVINCIA CONSTITUCIONAL DEL CALLAO,4,323709298.09000003
PROVINCIA CONSTITUCIONAL DEL CALLAO,5,311811008.73
PROVINCIA CONSTITUCIONAL DEL CALLAO,6,369216415.07
PROVINCIA CONSTITUCIONAL DEL CALLAO,7,333222742.21000004
PROVINCIA CONSTITUCIONAL DEL CALLAO,8,303135413.22
PROVINCIA CONSTITUCIONAL DEL CALLAO,9,312428942.11
PROVINCIA CONSTITUCIONAL DEL CALLAO,10,349155739.95000005
PROVINCIA CONSTITUCIONAL DEL CALLAO,11,298959653.06
PROVINCIA CONSTITUCIONAL DEL CALLAO,12,705248694.48
PUNO,1,128477519.19000001
PUNO,2,156382497.23999998
PUNO,3,210525044.20000002
PUNO,4,190220600.44
PUNO,5,221400624.25000003
PUNO,6,230292418.71000004
PUNO,7,266496629.94
PUNO,8,225531959.1
PUNO,9,248271435.17000002
PUNO,10,239942267.7
PUNO,11,289061342.97
PUNO,12,597042935.52
SAN MARTIN,1,86544706.63
SAN MARTIN,2,110986477.03999999
SAN MARTIN,3,192424024.05
SAN MARTIN,4,145522592.24
SAN MARTIN,5,159083489.48
SAN MARTIN,6,175205280.72000003
SAN MARTIN,7,180609973.95999998
SAN MARTIN,8,171520594.4
SAN MARTIN,9,200285296.42
SAN MARTIN,10,185258737.5
SAN MARTIN,11,201389424.43
SAN MARTIN,12,361715902.07000005
TACNA,1,49863189.48
TACNA,2,67750153.17
TACNA,3,85891128.52000001
TACNA,4,77552233.68
TACNA,5,64454981.70999999
TACNA,6,84508109.94999999
TACNA,7,79899743.15
TACNA,8,94033624.56
TACNA,9,77865021.46000001
TACNA,10,79196360.59
TACNA,11,96738726.37
TACNA,12,198504393.51
TUMBES,1,37218783.190000005
TUMBES,2,45211498.97
TUMBES,3,53848129.11
TUMBES,4,49333934.08
TUMBES,5,58043706.93
TUMBES,6,63377061.44
TUMBES,7,54044599.16
TUMBES,8,48944988.2
TUMBES,9,55861053.81
TUMBES,10,53727078.32
TUMBES,11,65155577.18
TUMBES,12,112138320.32
UCAYALI,1,54301082.839999996
UCAYALI,2,64155803.339999996
UCAYALI,3,106805020.16
UCAYALI,4,95774005.37
UCAYALI,5,97800844.8
UCAYALI,6,108718389.38
UCAYALI,7,106938121.8
UCAYALI,8,147570042.07999998
UCAYALI,9,97785362.6
UCAYALI,10,103315022.50999999
UCAYALI,11,127745288.88000001
UCAYALI,12,236222992.88
