Departamento,Mes,Monto
AMAZONAS,1,110231676.29
AMAZONAS,2,114639142.57
AMAZONAS,3,127414085.17000002
AMAZONAS,4,181409355.92000002
AMAZONAS,5,126645815.05000001
AMAZONAS,6,191156943.72
AMAZONAS,7,158659291.59
AMAZONAS,8,161084986.39000002
AMAZONAS,9,136628997.79
AMAZONAS,10,205319792.91
AMAZONAS,11,230559438.85000002
AMAZONAS,12,390069081.77
ANCASH,1,212457499.59
ANCASH,2,268904097.07
ANCASH,3,368217524.29999995
ANCASH,4,420797759.35
ANCASH,5,376342524.62
ANCASH,6,416575360.02
ANCASH,7,441294912.31
ANCASH,8,439287557.01
ANCASH,9,648366228.86
ANCASH,10,453510968.81
ANCASH,11,482610976.40999997
ANCASH,12,867261897.52
APURIMAC,1,99658267.42999999
APURIMAC,2,107268154.15
APURIMAC,3,156809994.55
APURIMAC,4,170638438.95
APURIMAC,5,185595617.83
APURIMAC,6,261121396.38
APURIMAC,7,217565012.92999998
APURIMAC,8,207228087.26
APURIMAC,9,200059581.74
APURIMAC,10,210931321.44
APURIMAC,11,225874495.76
APURIMAC,12,385687193.21
AREQUIPA,1,222284127.65
AREQUIPA,2,314249535.85
AREQUIPA,3,420405817.91999996
AREQUIPA,4,496540944.49
AREQUIPA,5,499099612.4
AREQUIPA,6,731036785.5600001
AREQUIPA,7,419120700.72
AREQUIPA,8,452395469.69
AREQUIPA,9,472641395.46
AREQUIPA,10,477044240.46999997
AREQUIPA,11,525710087.35999995
AREQUIPA,12,948549771.1500001
AYACUCHO,1,146196251.5
AYACUCHO,2,188741563.17000002
AYACUCHO,3,235945871.77
AYACUCHO,4,298570198.53000003
AYACUCHO,5,226733405.73999998
AYACUCHO,6,346732254.58000004
AYACUCHO,7,340504653.86999995
AYACUCHO,8,283350591.64
AYACUCHO,9,287339913.58
AYACUCHO,10,300213559.65
AYACUCHO,11,302773078.03999996
AYACUCHO,12,595788314.99
CAJAMARCA,1,265570599.26000002
CAJAMARCA,2,396208411.55
CAJAMARCA,3,432344043.12
CAJAMARCA,4,379407802.86
CAJAMARCA,5,431646677.0
CAJAMARCA,6,524295874.99999994
CAJAMARCA,7,485720860.74
CAJAMARCA,8,435246543.12
CAJAMARCA,9,451986741.87
CAJAMARCA,10,467266154.47
CAJAMARCA,11,530798432.87
CAJAMARCA,12,911550821.0300001
CUSCO,1,246152350.42999998
CUSCO,2,334668528.47999996
CUSCO,3,542824269.2
CUSCO,4,545882949.12
CUSCO,5,638994531.5099999
CUSCO,6,820893488.48
CUSCO,7,732561340.93
CUSCO,8,781052760.63
CUSCO,9,798271052.73
CUSCO,10,813455926.0900002
CUSCO,11,861202403.4000001
CUSCO,12,1463854923.83
HUANCAVELICA,1,98990019.7
HUANCAVELICA,2,103774087.61
HUANCAVELICA,3,133662626.45000002
HUANCAVELICA,4,162600829.67000002
HUANCAVELICA,5,135713706.16
HUANCAVELICA,6,213183864.48999998
HUANCAVELICA,7,198444710.98
HUANCAVELICA,8,167433589.79
HUANCAVELICA,9,172754964.73000002
HUANCAVELICA,10,196430887.37
HUANCAVELICA,11,187421103.74000004
HUANCAVELICA,12,372582164.88
HUANUCO,1,154736045.89999998
HUANUCO,2,137456739.75
HUANUCO,3,181376304.86
HUANUCO,4,197189746.39999998
HUANUCO,5,195947170.42000002
HUANUCO,6,250052208.95999998
HUANUCO,7,236238975.38
HUANUCO,8,222424175.97000003
HUANUCO,9,246200539.01
HUANUCO,10,279457963.27
HUANUCO,11,285917811.16
HUANUCO,12,582318696.46
ICA,1,147760444.7
ICA,2,211020389.6
ICA,3,270144762.04
ICA,4,228345447.78
ICA,5,268506167.61
ICA,6,351560466.21
ICA,7,260378849.74
ICA,8,262800471.57
ICA,9,251607891.2
ICA,10,295594925.03
ICA,11,292344586.38
ICA,12,721843569.7800001
JUNIN,1,211067669.63
JUNIN,2,263901780.42
JUNIN,3,346171844.34000003
JUNIN,4,370013288.84
JUNIN,5,298751127.78999996
JUNIN,6,484724165.6
JUNIN,7,420104884.13
JUNIN,8,389709053.93
JUNIN,9,365088298.61
JUNIN,10,418804400.99999994
JUNIN,11,441919801.74
JUNIN,12,833119904.36
LA LIBERTAD,1,244294880.91000003
LA LIBERTAD,2,328838712.71000004
LA LIBERTAD,3,356907311.31
LA LIBERTAD,4,393714415.74
LA LIBERTAD,5,368725278.22
LA LIBERTAD,6,501287160.42
LA LIBERTAD,7,437136102.81
LA LIBERTAD,8,417812625.11
LA LIBERTAD,9,448137679.94
LA LIBERTAD,10,429721485.82000005
LA LIBERTAD,11,528299153.67
LA LIBERTAD,12,829662960.1700001
LAMBAYEQUE,1,157204698.31
LAMBAYEQUE,2,232023624.19
LAMBAYEQUE,3,240601040.22
LAMBAYEQUE,4,212556855.46
LAMBAYEQUE,5,237294724.48000002
LAMBAYEQUE,6,317570435.5
LAMBAYEQUE,7,273562851.84000003
LAMBAYEQUE,8,253736300.48000002
LAMBAYEQUE,9,256545740.30999997
LAMBAYEQUE,10,261055242.54
LAMBAYEQUE,11,293464770.39
LAMBAYEQUE,12,560802373.65
LIMA,1,11094118405.52
LIMA,2,12884017838.17
LIMA,3,9163275974.52
LIMA,4,9517009050.91
LIMA,5,9569006229.49
LIMA,6,9138428274.09
LIMA,7,9781530550.39
LIMA,8,12291605131.900002
LIMA,9,8915308427.4
LIMA,10,10422245605.919998
LIMA,11,11610097674.58
LIMA,12,18781173956.57
LORETO,1,265353697.71
LORETO,2,255888806.29000002
LORETO,3,325206118.4
LORETO,4,336455655.04
LORETO,5,307049155.15999997
LORETO,6,329999552.96
LORETO,7,332915865.49999994
LORETO,8,352385424.63
LORETO,9,324825584.24999994
LORETO,10,337117451.58000004
LORETO,11,392202964.96000004
LORETO,12,532957898.45000005
MADRE DE DIOS,1,33476712.049999997
MADRE DE DIOS,2,30273713.95
MADRE DE DIOS,3,42572642.31
MADRE DE DIOS,4,40573305.0
MADRE DE DIOS,5,49180845.730000004
MADRE DE DIOS,6,68566464.25999999
MADRE DE DIOS,7,55861612.43
MADRE DE DIOS,8,63236598.67000001
MADRE DE DIOS,9,62861110.03
MADRE DE DIOS,10,63997576.36
MADRE DE DIOS,11,66927462.86
MADRE DE DIOS,12,111509756.84
MOQUEGUA,1,42462407.559999995
MOQUEGUA,2,82045282.51
MOQUEGUA,3,99290933.50999999
MOQUEGUA,4,99632954.89
MOQUEGUA,5,113537185.14999999
MOQUEGUA,6,149340946.34
MOQUEGUA,7,132832112.05
MOQUEGUA,8,125764134.61999999
MOQUEGUA,9,135528510.97
MOQUEGUA,10,140379944.01
MOQUEGUA,11,141090470.16
MOQUEGUA,12,270324250.99
PASCO,1,49244843.76
PASCO,2,57123047.91
PASCO,3,70352561.98
PASCO,4,81287153.96000001
PASCO,5,92169972.72999999
PASCO,6,101893852.42
PASCO,7,122748098.50999999
PASCO,8,121253384.88000001
PASCO,9,102692114.32
PASCO,10,107988146.61
PASCO,11,161013410.13
PASCO,12,318972407.90999997
PIURA,1,273965213.52
PIURA,2,409338704.14
PIURA,3,459402604.84
PIURA,4,401787236.67
PIURA,5,470361735.41
PIURA,6,519261352.62
PIURA,7,572838088.29
PIURA,8,529384179.78999996
PIURA,9,613386092.85
PIURA,10,572905450.45
