Departamento,Mes,Monto
AMAZONAS,1,37831513.800000004
AMAZONAS,2,44546491.47
AMAZONAS,3,74960208.09
AMAZONAS,4,64766810.24
AMAZONAS,5,66193071.550000004
AMAZONAS,6,60850788.18
AMAZONAS,7,79652477.36
AMAZONAS,8,58866337.84
AMAZONAS,9,72327160.78999999
AMAZONAS,10,71618174.27
AMAZONAS,11,76307218.07
AMAZONAS,12,138187778.18
ANCASH,1,112517290.06
ANCASH,2,146702017.23000002
ANCASH,3,201807467.06
ANCASH,4,215323554.52
ANCASH,5,216518443.00000003
ANCASH,6,177902374.53
ANCASH,7,247431072.82
ANCASH,8,337109286.76
ANCASH,9,242393682.3
ANCASH,10,253004950.11
ANCASH,11,272342001.95
ANCASH,12,458480716.73
APURIMAC,1,68979711.9
APURIMAC,2,52673247.69
APURIMAC,3,104912887.57999998
APURIMAC,4,77818322.36
APURIMAC,5,76622368.06
APURIMAC,6,78977757.62
APURIMAC,7,103401241.50999999
APURIMAC,8,76717232.36
APURIMAC,9,80913015.71000001
APURIMAC,10,107617120.25
APURIMAC,11,101715682.26999998
APURIMAC,12,182549749.74999997
AREQUIPA,1,125399715.65
AREQUIPA,2,152011140.36
AREQUIPA,3,190250785.37
AREQUIPA,4,270267391.11
AREQUIPA,5,224999522.76
AREQUIPA,6,231092592.81
AREQUIPA,7,263100433.41
AREQUIPA,8,271933068.73
AREQUIPA,9,207995785.12
AREQUIPA,10,334414816.38
AREQUIPA,11,273629979.48
AREQUIPA,12,317014951.68
AYACUCHO,1,54619575.89
AYACUCHO,2,86785048.36
AYACUCHO,3,143291018.59
AYACUCHO,4,137352214.93
AYACUCHO,5,132994029.01
AYACUCHO,6,149525127.98
AYACUCHO,7,192711089.05
AYACUCHO,8,126518838.25999999
AYACUCHO,9,126088083.61
AYACUCHO,10,176367750.46
AYACUCHO,11,143975461.57999998
AYACUCHO,12,381025076.33
CAJAMARCA,1,127048090.73
CAJAMARCA,2,179737701.63
CAJAMARCA,3,211907237.17
CAJAMARCA,4,202447206.64999998
CAJAMARCA,5,201227746.28
CAJAMARCA,6,202057412.17999998
CAJAMARCA,7,273688056.96
CAJAMARCA,8,245233035.45999998
CAJAMARCA,9,223827317.64
CAJAMARCA,10,232716327.07
CAJAMARCA,11,249883207.15
CAJAMARCA,12,511365143.93
CUSCO,1,124094848.64
CUSCO,2,265265625.3
CUSCO,3,405001068.71000004
CUSCO,4,500991765.6
CUSCO,5,412580033.18000007
CUSCO,6,391079822.53
CUSCO,7,540389176.74
CUSCO,8,401517281.37
CUSCO,9,379034500.75
CUSCO,10,558729025.8
CUSCO,11,386402774.28999996
CUSCO,12,925725596.58
HUANCAVELICA,1,56610622.08
HUANCAVELICA,2,75825506.88
HUANCAVELICA,3,89693091.27
HUANCAVELICA,4,84172375.01
HUANCAVELICA,5,117522097.22
HUANCAVELICA,6,113228779.39
HUANCAVELICA,7,146520782.94
HUANCAVELICA,8,81780145.58
HUANCAVELICA,9,94396277.39999999
HUANCAVELICA,10,102919599.7
HUANCAVELICA,11,101488612.14
HUANCAVELICA,12,244588804.41000003
HUANUCO,1,60513907.36
HUANUCO,2,78468890.3
HUANUCO,3,114224675.47
HUANUCO,4,164442076.59
HUANUCO,5,99374403.85
HUANUCO,6,120730454.44999999
HUANUCO,7,144294409.87
HUANUCO,8,136694434.74
HUANUCO,9,110500191.92
HUANUCO,10,137579363.15
HUANUCO,11,143145810.51
HUANUCO,12,310443528.02
ICA,1,75628160.91
ICA,2,104273971.91000001
ICA,3,131076375.72
ICA,4,108225792.0
ICA,5,117347395.57000001
