Departamento,Mes,Monto
AMAZONAS,1,57580693.1
AMAZONAS,2,52788833.14
AMAZONAS,3,62594870.260000005
AMAZONAS,4,63755759.44
AMAZONAS,5,62969688.24
AMAZONAS,6,60733695.949999996
AMAZONAS,7,82761448.7
AMAZONAS,8,67824268.17
AMAZONAS,9,87659790.89
AMAZONAS,10,96481355.66
AMAZONAS,11,122413442.76
AMAZONAS,12,259909036.82
ANCASH,1,125796353.27
ANCASH,2,204268997.04999998
ANCASH,3,210976655.8
ANCASH,4,185609152.35999998
ANCASH,5,163791234.05999997
ANCASH,6,141343937.56
ANCASH,7,261425205.63
ANCASH,8,231239358.6
ANCASH,9,225914137.27
ANCASH,10,229388853.66
ANCASH,11,243456007.32999998
ANCASH,12,566224972.58
APURIMAC,1,74678425.87
APURIMAC,2,75026679.75999999
APURIMAC,3,80229499.93
APURIMAC,4,89310028.03
APURIMAC,5,81703161.88
APURIMAC,6,105397457.09
APURIMAC,7,122564409.97000001
APURIMAC,8,103696988.6
APURIMAC,9,99534665.23
APURIMAC,10,105251808.19
APURIMAC,11,123933556.77
APURIMAC,12,220304754.28000003
AREQUIPA,1,145781971.73
AREQUIPA,2,215533297.16
AREQUIPA,3,195529331.95000002
AREQUIPA,4,199949102.73000002
AREQUIPA,5,253779098.61999997
AREQUIPA,6,301184181.55
AREQUIPA,7,293868917.26
AREQUIPA,8,253909481.89000005
AREQUIPA,9,209138593.38
AREQUIPA,10,218659227.26
AREQUIPA,11,268897402.26
AREQUIPA,12,321813161.27
AYACUCHO,1,60966272.29
AYACUCHO,2,101999944.38
AYACUCHO,3,174110279.83
AYACUCHO,4,148214531.9
AYACUCHO,5,144321727.21
AYACUCHO,6,144290813.4
AYACUCHO,7,191706862.35
AYACUCHO,8,161022462.76999998
AYACUCHO,9,156649039.41
AYACUCHO,10,169447266.90000004
AYACUCHO,11,191270072.64
AYACUCHO,12,461193527.63
CAJAMARCA,1,154975984.05
CAJAMARCA,2,185149814.59
CAJAMARCA,3,227274384.72000003
CAJAMARCA,4,205269722.48
CAJAMARCA,5,207682930.37
CAJAMARCA,6,214584128.67000002
CAJAMARCA,7,311937964.56
CAJAMARCA,8,246441391.13
CAJAMARCA,9,250405530.46
CAJAMARCA,10,249115155.57000002
CAJAMARCA,11,271905978.88
CAJAMARCA,12,493562813.18999994
CUSCO,1,137493884.02
CUSCO,2,314116150.39
CUSCO,3,380586365.38
CUSCO,4,431429466.13
CUSCO,5,423285621.53999996
CUSCO,6,389376048.22
CUSCO,7,571928863.58
CUSCO,8,434873399.05
CUSCO,9,458973338.16
CUSCO,10,423134813.72
CUSCO,11,450937894.93
CUSCO,12,653174168.5
HUANCAVELICA,1,47728320.28999999
HUANCAVELICA,2,65484652.53
HUANCAVELICA,3,151423555.57
HUANCAVELICA,4,83996109.19
HUANCAVELICA,5,109820097.88999999
HUANCAVELICA,6,107514844.82
HUANCAVELICA,7,155799139.71
HUANCAVELICA,8,76766902.29
HUANCAVELICA,9,103275661.13
HUANCAVELICA,10,123973416.14999999
HUANCAVELICA,11,143903969.45000002
HUANCAVELICA,12,249015131.20000002
HUANUCO,1,71839949.72
HUANUCO,2,84101476.92
HUANUCO,3,138139871.05
HUANUCO,4,125333143.94
HUANUCO,5,121231676.67
HUANUCO,6,126459538.03999999
HUANUCO,7,156725929.57
HUANUCO,8,160721477.77
HUANUCO,9,128794555.74
HUANUCO,10,150366451.14
HUANUCO,11,159274046.87
HUANUCO,12,261241711.25
ICA,1,83767082.29
ICA,2,116777939.89999999
ICA,3,123236011.24000001
ICA,4,122067390.7
ICA,5,130417199.9
ICA,6,110306781.89
ICA,7,161007253.23
ICA,8,139304924.13
ICA,9,138566212.42000002
ICA,10,133448481.7
ICA,11,139769554.55
ICA,12,224915693.48999998
JUNIN,1,108201468.65
JUNIN,2,123015015.66
JUNIN,3,146199592.89
JUNIN,4,178556666.21
JUNIN,5,160058890.93
JUNIN,6,162508009.63
JUNIN,7,245371463.06
JUNIN,8,264523417.15
JUNIN,9,173028768.51999998
JUNIN,10,173324009.30999997
JUNIN,11,229553362.85
JUNIN,12,322357857.69
LA LIBERTAD,1,150977162.17000002
LA LIBERTAD,2,198474190.4
LA LIBERTAD,3,224462197.81
LA LIBERTAD,4,229740339.89
LA LIBERTAD,5,237986245.58
LA LIBERTAD,6,314709351.42
LA LIBERTAD,7,289803969.1
LA LIBERTAD,8,230704355.67
LA LIBERTAD,9,276236901.92
LA LIBERTAD,10,193384924.08
LA LIBERTAD,11,294428305.01
LA LIBERTAD,12,450742755.6
LAMBAYEQUE,1,97970343.63999999
LAMBAYEQUE,2,172306273.93
LAMBAYEQUE,3,138510164.9
LAMBAYEQUE,4,132776493.33000001
LAMBAYEQUE,5,136914609.92999998
LAMBAYEQUE,6,129387676.82
LAMBAYEQUE,7,184317515.67999998
LAMBAYEQUE,8,165217138.29
LAMBAYEQUE,9,149719516.85
LAMBAYEQUE,10,128685509.5
LAMBAYEQUE,11,148045533.96
LAMBAYEQUE,12,298544416.01
LIMA,1,4248870568.06
LIMA,2,5914968714.72
LIMA,3,4845198823.92
LIMA,4,5319863479.43
LIMA,5,5568758573.03
LIMA,6,5666124564.79
LIMA,7,7493480720.66
LIMA,8,6803685830.46
LIMA,9,5794560919.299999
LIMA,10,8043247306.29
LIMA,11,5982075827.97
LIMA,12,13736112926.34
LORETO,1,136256770.2
LORETO,2,175277235.69
LORETO,3,187572531.9
LORETO,4,173763743.2
LORETO,5,160433123.9
LORETO,6,157530627.71
LORETO,7,211067958.04000002
LORETO,8,153106265.07999998
LORETO,9,162834249.49999997
LORETO,10,153182092.95999998
LORETO,11,173419186.77
LORETO,12,253005830.32
MADRE DE DIOS,1,13559727.559999999
MADRE DE DIOS,2,18379709.1
MADRE DE DIOS,3,20485771.39
MADRE DE DIOS,4,21983902.61
MADRE DE DIOS,5,30441345.47
MADRE DE DIOS,6,26801881.3
MADRE DE DIOS,7,31556054.14
