Departamento,Mes,Monto
AMAZONAS,1,39558555.07
AMAZONAS,2,49685020.49
AMAZONAS,3,74937865.66
AMAZONAS,4,73201865.14999999
AMAZONAS,5,62659745.879999995
AMAZONAS,6,76771828.28999999
AMAZONAS,7,90593021.46
AMAZONAS,8,88033507.34
AMAZONAS,9,98350588.31
AMAZONAS,10,95100627.72
AMAZONAS,11,105621093.44
AMAZONAS,12,183772390.45
ANCASH,1,93056217.28000002
ANCASH,2,104843345.50999999
ANCASH,3,143899037.66
ANCASH,4,144944582.46
ANCASH,5,151404518.98
ANCASH,6,155316529.22
ANCASH,7,238690152.76999998
ANCASH,8,135911526.71
ANCASH,9,165339462.48000002
ANCASH,10,183281123.92000002
ANCASH,11,199054227.07999998
ANCASH,12,370229704.87
APURIMAC,1,52607317.32
APURIMAC,2,51685191.99
APURIMAC,3,86811811.32000001
APURIMAC,4,73607966.68
APURIMAC,5,89471138.07
APURIMAC,6,112344676.87
APURIMAC,7,98835103.17
APURIMAC,8,109593229.39
APURIMAC,9,98203574.98
APURIMAC,10,113757813.47999999
APURIMAC,11,138263116.99
APURIMAC,12,253766782.30999997
AREQUIPA,1,114818918.0
AREQUIPA,2,140004799.92
AREQUIPA,3,202786652.61
AREQUIPA,4,216870504.75
AREQUIPA,5,199747090.85
AREQUIPA,6,237477308.01999998
AREQUIPA,7,276043916.42
AREQUIPA,8,179845407.57
AREQUIPA,9,282160733.76
AREQUIPA,10,170320184.06
AREQUIPA,11,210035671.76000002
AREQUIPA,12,441174511.69000006
AYACUCHO,1,65430148.989999995
AYACUCHO,2,100534984.10000001
AYACUCHO,3,168554520.23000002
AYACUCHO,4,197469586.32999998
AYACUCHO,5,157753571.85
AYACUCHO,6,156155760.18
AYACUCHO,7,240619176.59000003
AYACUCHO,8,151303573.34
AYACUCHO,9,147265321.19000003
AYACUCHO,10,169545190.47
AYACUCHO,11,171692320.14000002
AYACUCHO,12,369995192.03
CAJAMARCA,1,105859260.61999999
CAJAMARCA,2,154020555.94
CAJAMARCA,3,175443687.38
CAJAMARCA,4,202208709.92999998
CAJAMARCA,5,194047520.78000003
CAJAMARCA,6,194502599.59
CAJAMARCA,7,270756808.08
CAJAMARCA,8,211442192.09
CAJAMARCA,9,222506195.11999997
CAJAMARCA,10,249873890.34
CAJAMARCA,11,283877226.34000003
CAJAMARCA,12,507362091.36
CUSCO,1,101042480.72
CUSCO,2,167537682.62999997
CUSCO,3,264729454.5
CUSCO,4,311597308.23
CUSCO,5,293251710.02
CUSCO,6,347221765.49
CUSCO,7,522801705.99
CUSCO,8,296068051.99
CUSCO,9,400603341.44
CUSCO,10,486259210.92999995
CUSCO,11,323105740.18
CUSCO,12,818818071.9
HUANCAVELICA,1,35645961.019999996
HUANCAVELICA,2,69327368.39
HUANCAVELICA,3,88736546.08
HUANCAVELICA,4,93804874.92
HUANCAVELICA,5,98589813.99999999
HUANCAVELICA,6,113962931.74000001
HUANCAVELICA,7,151335846.85999998
HUANCAVELICA,8,93274422.03
HUANCAVELICA,9,100166193.74000001
HUANCAVELICA,10,123019815.71999998
HUANCAVELICA,11,125432192.79
HUANCAVELICA,12,251545723.57
HUANUCO,1,56835514.39999999
HUANUCO,2,78631495.68
HUANUCO,3,121662774.27999999
HUANUCO,4,107629699.34
HUANUCO,5,108654339.92999999
HUANUCO,6,125241619.09
HUANUCO,7,159111304.76
HUANUCO,8,116750297.92000002
HUANUCO,9,133667147.89999999
HUANUCO,10,135151532.29
HUANUCO,11,153041665.08
HUANUCO,12,340563995.34000003
ICA,1,75822890.23
ICA,2,102397824.64
ICA,3,102437468.78
ICA,4,106426513.83
ICA,5,100690466.6
ICA,6,117206003.41
ICA,7,172794870.07999998
ICA,8,140145072.88
ICA,9,118304310.57999998
ICA,10,150769876.13
ICA,11,138033423.07
ICA,12,259209499.89000002
JUNIN,1,103905344.07
JUNIN,2,109667494.72
JUNIN,3,142094657.67000002
JUNIN,4,159182703.89000002
JUNIN,5,150882550.55
JUNIN,6,210556975.11
JUNIN,7,215327030.51999998
JUNIN,8,157637154.48000002
JUNIN,9,183137160.39
JUNIN,10,208377037.51000002
JUNIN,11,222672470.0
JUNIN,12,510000152.85
LA LIBERTAD,1,127626634.03
LA LIBERTAD,2,255119549.96
