Departamento,Mes,Monto
AMAZONAS,1,78772348.3
AMAZONAS,2,100008129.29
AMAZONAS,3,149109421.44
AMAZONAS,4,113296673.83
AMAZONAS,5,125272810.85000001
AMAZONAS,6,128941147.99
AMAZONAS,7,158142750.29
AMAZONAS,8,168194039.96
AMAZONAS,9,142458922.17000002
AMAZONAS,10,165813768.93
AMAZONAS,11,154972094.23999998
AMAZONAS,12,312305719.66
ANCASH,1,193495420.8
ANCASH,2,254371109.43999997
ANCASH,3,381316457.25000006
ANCASH,4,348117568.81
ANCASH,5,380396598.28
ANCASH,6,431215328.81
ANCASH,7,498975022.66999996
ANCASH,8,476254934.44
ANCASH,9,435311910.3
ANCASH,10,459566982.24
ANCASH,11,564436374.26
ANCASH,12,1033644140.3100001
APURIMAC,1,86090216.55
APURIMAC,2,130538681.25999999
APURIMAC,3,205729985.6
APURIMAC,4,181971564.75
APURIMAC,5,209165082.67999998
APURIMAC,6,246445264.11999997
APURIMAC,7,257701800.36
APURIMAC,8,234747112.04000002
APURIMAC,9,229824171.0
APURIMAC,10,248081525.32000002
APURIMAC,11,250438668.97
APURIMAC,12,399204867.52
AREQUIPA,1,215154978.59
AREQUIPA,2,299939230.33
AREQUIPA,3,393872334.34000003
AREQUIPA,4,354067521.87999994
AREQUIPA,5,391315068.63
AREQUIPA,6,410028533.72
AREQUIPA,7,713197663.74
AREQUIPA,8,505796403.85
AREQUIPA,9,428891008.52
AREQUIPA,10,472657254.88000005
AREQUIPA,11,488094404.07
AREQUIPA,12,979399942.3399999
AYACUCHO,1,124932055.69
AYACUCHO,2,171961454.78
AYACUCHO,3,238709178.15
AYACUCHO,4,201019288.42000002
AYACUCHO,5,257408126.3
AYACUCHO,6,261681013.54000002
AYACUCHO,7,309478371.47
AYACUCHO,8,285450826.67
AYACUCHO,9,263903307.72
AYACUCHO,10,301328171.03999996
AYACUCHO,11,305131223.26
AYACUCHO,12,573997675.6600001
CAJAMARCA,1,229851403.60000002
CAJAMARCA,2,294338769.77
CAJAMARCA,3,405325566.47
CAJAMARCA,4,368865775.36
CAJAMARCA,5,389830458.0
CAJAMARCA,6,414357471.71999997
CAJAMARCA,7,507663114.26
CAJAMARCA,8,449826617.16999996
CAJAMARCA,9,451751091.08000004
CAJAMARCA,10,468184039.68
CAJAMARCA,11,481701013.8
CAJAMARCA,12,846246230.3500001
CUSCO,1,219208397.16000003
CUSCO,2,332075873.02000004
CUSCO,3,536404144.35
CUSCO,4,480320303.05
CUSCO,5,580317275.8499999
CUSCO,6,586388542.48
CUSCO,7,635708157.1999999
CUSCO,8,647505581.05
CUSCO,9,722309354.14
CUSCO,10,738157675.02
CUSCO,11,761378188.3
CUSCO,12,1316052548.24
HUANCAVELICA,1,100208579.8
HUANCAVELICA,2,103101627.73000002
HUANCAVELICA,3,152026826.98999998
HUANCAVELICA,4,132447738.37
HUANCAVELICA,5,168140246.28
HUANCAVELICA,6,159098773.27999997
HUANCAVELICA,7,193387834.48
HUANCAVELICA,8,175731217.5
HUANCAVELICA,9,169212216.92000002
HUANCAVELICA,10,177626137.53
HUANCAVELICA,11,185621280.17999998
HUANCAVELICA,12,387727268.82000005
HUANUCO,1,119395325.31
HUANUCO,2,155959183.98000002
HUANUCO,3,198410302.87999997
HUANUCO,4,174509978.76999998
HUANUCO,5,196642257.06
HUANUCO,6,204694902.74
HUANUCO,7,238804819.39
HUANUCO,8,221974994.64
HUANUCO,9,218760509.57999998
HUANUCO,10,218097541.18
HUANUCO,11,254923405.82
HUANUCO,12,485209872.07
ICA,1,121804259.32000001
ICA,2,151378087.68
ICA,3,225465546.03000003
ICA,4,203582615.39
ICA,5,221621412.45
ICA,6,248792287.25
ICA,7,251663653.52
ICA,8,269231031.78999996
ICA,9,234068553.34
ICA,10,260546489.17000002
ICA,11,276020596.91999996
ICA,12,503875981.53999996
JUNIN,1,209175058.25
JUNIN,2,231788743.61
JUNIN,3,329332089.76
JUNIN,4,289334434.03
JUNIN,5,314189089.0
JUNIN,6,307089662.89
JUNIN,7,358789606.18
JUNIN,8,380317823.57
JUNIN,9,363927063.51
JUNIN,10,398067585.79
JUNIN,11,416388234.82000005
JUNIN,12,722259893.9699999
LA LIBERTAD,1,222520247.32999998
LA LIBERTAD,2,286896759.75
LA LIBERTAD,3,390902322.86
LA LIBERTAD,4,339861628.28
LA LIBERTAD,5,409859509.42999995
LA LIBERTAD,6,438111710.34
LA LIBERTAD,7,484914457.38
LA LIBERTAD,8,398705842.21999997
LA LIBERTAD,9,444480274.82000005
LA LIBERTAD,10,456439998.03000003
LA LIBERTAD,11,467053437.14
LA LIBERTAD,12,824330341.29
LAMBAYEQUE,1,136855867.26
LAMBAYEQUE,2,163653835.56
LAMBAYEQUE,3,234193243.08
LAMBAYEQUE,4,218428619.32999998
LAMBAYEQUE,5,246578053.02
LAMBAYEQUE,6,252500433.10999998
LAMBAYEQUE,7,281364024.14
LAMBAYEQUE,8,242364878.45000002
LAMBAYEQUE,9,242359779.22
LAMBAYEQUE,10,243019385.74
LAMBAYEQUE,11,264596404.63
LAMBAYEQUE,12,444979378.81
LIMA,1,6788484735.4
LIMA,2,11235602188.43
LIMA,3,9413044121.52
LIMA,4,9603826182.31
LIMA,5,8550780951.54
LIMA,6,8535934367.34
LIMA,7,9785955404.51
LIMA,8,14691298728.16
LIMA,9,9062693746.27
LIMA,10,10391970808.33
LIMA,11,10106692184.310001
LIMA,12,18962873141.76
LORETO,1,248557480.14
LORETO,2,233768980.04
LORETO,3,348544535.49
LORETO,4,322078390.55
LORETO,5,406845314.65
LORETO,6,264683837.14000002
LORETO,7,337256839.08000004
LORETO,8,334085087.13
LORETO,9,325032702.52000004
LORETO,10,331623020.43
LORETO,11,350136397.64000005
LORETO,12,560529389.14
MADRE DE DIOS,1,32680126.740000002
MADRE DE DIOS,2,33911195.15
MADRE DE DIOS,3,61842332.199999996
MADRE DE DIOS,4,31242209.59
MADRE DE DIOS,5,64264513.58
MADRE DE DIOS,6,52365518.919999994
MADRE DE DIOS,7,64982472.92
MADRE DE DIOS,8,55990840.72
MADRE DE DIOS,9,56912525.239999995
MADRE DE DIOS,10,63065034.85999999
MADRE DE DIOS,11,64151880.93
MADRE DE DIOS,12,99142196.78999999
MOQUEGUA,1,39573856.0
MOQUEGUA,2,68551219.33000001
MOQUEGUA,3,112542417.93
MOQUEGUA,4,92077926.62
MOQUEGUA,5,112243931.8
MOQUEGUA,6,103762838.69
MOQUEGUA,7,123271038.53
MOQUEGUA,8,119225229.59
MOQUEGUA,9,113872278.41999999
MOQUEGUA,10,130988291.9
MOQUEGUA,11,130560055.38
MOQUEGUA,12,277528706.26
PASCO,1,47468216.730000004
PASCO,2,61600744.36
PASCO,3,91894592.22000001
PASCO,4,72757968.67
PASCO,5,100130757.56
PASCO,6,96407870.52
PASCO,7,102795706.75999999
PASCO,8,97819929.02
PASCO,9,117607480.39000002
PASCO,10,105779156.24
PASCO,11,124316858.49999999
PASCO,12,237990417.52
PIURA,1,228260341.23
PIURA,2,305623695.34999996
PIURA,3,457774025.97
PIURA,4,389239530.15
PIURA,5,447830897.36999995
PIURA,6,462172661.6
PIURA,7,501342185.46000004
PIURA,8,507992826.12000006
PIURA,9,521840307.85
PIURA,10,485078944.87999994
PIURA,11,607872662.71
PIURA,12,899429000.8
PROVINCIA CONSTITUCIONAL DEL CALLAO,1,247739825.83999997
PROVINCIA CONSTITUCIONAL DEL CALLAO,2,333986983.23
PROVINCIA CONSTITUCIONAL DEL CALLAO,3,367629224.33
PROVINCIA CONSTITUCIONAL DEL CALLAO,4,364063824.06
PROVINCIA CONSTITUCIONAL DEL CALLAO,5,396681150.84000003
PROVINCIA CONSTITUCIONAL DEL CALLAO,6,377445309.66999996
PROVINCIA CONSTITUCIONAL DEL CALLAO,7,431903366.6
PROVINCIA CONSTITUCIONAL DEL CALLAO,8,373004620.40999997
PROVINCIA CONSTITUCIONAL DEL CALLAO,9,377747472.65999997
PROVINCIA CONSTITUCIONAL DEL CALLAO,10,391347649.12
PROVINCIA CONSTITUCIONAL DEL CALLAO,11,553371403.76
PROVINCIA CONSTITUCIONAL DEL CALLAO,12,672411540.4900001
PUNO,1,169220117.32000002
PUNO,2,212401414.31
PUNO,3,316711941.05
PUNO,4,248176676.1
PUNO,5,298339381.22
PUNO,6,345819581.34000003
PUNO,7,359642320.25
PUNO,8,343288000.36
PUNO,9,367043260.33
PUNO,10,377786506.61999995
PUNO,11,369223118.96999997
PUNO,12,738071834.44
SAN MARTIN,1,141991087.95000002
SAN MARTIN,2,154021241.91
SAN MARTIN,3,238542107.54
SAN MARTIN,4,211199498.64
SAN MARTIN,5,238608423.84
SAN MARTIN,6,249614428.87
SAN MARTIN,7,280591625.44
SAN MARTIN,8,265615441.36
SAN MARTIN,9,253048194.43
SAN MARTIN,10,251125693.20999998
SAN MARTIN,11,290909250.19
SAN MARTIN,12,424429159.93
TACNA,1,65772609.42
TACNA,2,131141128.23
TACNA,3,131336759.66999999
TACNA,4,130491676.58
TACNA,5,149625359.68
TACNA,6,158945406.73999998
TACNA,7,176520469.5
TACNA,8,199210467.82
TACNA,9,148467369.99
TACNA,10,183966227.94
TACNA,11,226157395.06
TACNA,12,319701613.78
TUMBES,1,44900834.239999995
TUMBES,2,63544093.03
TUMBES,3,75481374.55000001
TUMBES,4,81550667.92
TUMBES,5,72192525.71
TUMBES,6,77989572.53999999
TUMBES,7,93417794.58999999
TUMBES,8,94309624.41
TUMBES,9,81171812.55000001
TUMBES,10,75595847.89
TUMBES,11,87997540.02
TUMBES,12,148471336.99
UCAYALI,1,82072324.41
UCAYALI,2,134758366.57
UCAYALI,3,164433156.6
UCAYALI,4,126650319.92
UCAYALI,5,136116934.22
UCAYALI,6,155381324.38
UCAYALI,7,182970890.42000002
UCAYALI,8,165687862.24
UCAYALI,9,170885108.35000002
UCAYALI,10,162760638.41
UCAYALI,11,177199197.84
UCAYALI,12,279956102.07000005
