Departamento,Mes,Monto
AMAZONAS,1,87608150.38000001
AMAZONAS,2,88894455.77
AMAZONAS,3,98697809.21
AMAZONAS,4,78117712.61999999
AMAZONAS,5,80364279.18
AMAZONAS,6,110889615.79
AMAZONAS,7,103632264.32000001
AMAZONAS,8,134531366.72
AMAZONAS,9,137485672.54
AMAZONAS,10,145980068.04
AMAZONAS,11,199660313.58
AMAZONAS,12,392318926.21999997
ANCASH,1,206527538.63
ANCASH,2,264711776.69
ANCASH,3,241944881.14
ANCASH,4,184730823.68
ANCASH,5,188220550.94
ANCASH,6,213819535.27
ANCASH,7,248946127.20999998
ANCASH,8,257174191.49
ANCASH,9,300940443.28
ANCASH,10,368625031.83000004
ANCASH,11,439669209.27
ANCASH,12,750671808.1099999
APURIMAC,1,98688714.67
APURIMAC,2,109142603.84000002
APURIMAC,3,117079822.39999999
APURIMAC,4,97225822.97000001
APURIMAC,5,90107709.01
APURIMAC,6,102088849.19
APURIMAC,7,135513596.84
APURIMAC,8,150341343.29
APURIMAC,9,188659356.05
APURIMAC,10,194990507.16
APURIMAC,11,207427031.09
APURIMAC,12,465329151.53
AREQUIPA,1,228632298.44
AREQUIPA,2,282320396.46
AREQUIPA,3,264618603.4
AREQUIPA,4,196890861.20999998
AREQUIPA,5,224442093.05
AREQUIPA,6,212302963.29
AREQUIPA,7,311371638.97
AREQUIPA,8,314202463.38
AREQUIPA,9,393970322.12
AREQUIPA,10,469774049.59000003
AREQUIPA,11,454166685.25999993
AREQUIPA,12,870025321.0999999
AYACUCHO,1,123816890.06
AYACUCHO,2,146087805.82999998
AYACUCHO,3,157250178.02
AYACUCHO,4,137983442.65
AYACUCHO,5,138499655.91
AYACUCHO,6,145360175.26
AYACUCHO,7,188248119.89
AYACUCHO,8,217276704.32000002
AYACUCHO,9,316491165.71
AYACUCHO,10,288246586.18
AYACUCHO,11,314997330.73
AYACUCHO,12,760918201.9399998
CAJAMARCA,1,210770632.59
CAJAMARCA,2,277123356.47
CAJAMARCA,3,276718380.49
CAJAMARCA,4,236535597.87
CAJAMARCA,5,233941544.48
CAJAMARCA,6,238732604.45
CAJAMARCA,7,272236499.03999996
CAJAMARCA,8,295586377.12
CAJAMARCA,9,335350531.33
CAJAMARCA,10,407504753.81
CAJAMARCA,11,421347040.31000006
CAJAMARCA,12,888637038.12
CUSCO,1,202256931.04999998
CUSCO,2,308570197.36
CUSCO,3,369865023.13000005
CUSCO,4,266371969.67
CUSCO,5,268192654.17000002
CUSCO,6,298728288.64
CUSCO,7,356021796.57
CUSCO,8,384882920.45
CUSCO,9,461115714.06
CUSCO,10,543294208.5500001
CUSCO,11,567760392.24
CUSCO,12,1132707906.6599998
HUANCAVELICA,1,83446050.36
HUANCAVELICA,2,96882169.67
HUANCAVELICA,3,98521102.83
HUANCAVELICA,4,86069123.99
HUANCAVELICA,5,88000207.31
HUANCAVELICA,6,102356257.39
HUANCAVELICA,7,106901652.75999999
HUANCAVELICA,8,138490183.67000002
HUANCAVELICA,9,153119360.81
HUANCAVELICA,10,173252868.09
HUANCAVELICA,11,213356606.75
HUANCAVELICA,12,479994019.53
HUANUCO,1,114363236.9
HUANUCO,2,147029168.94
HUANUCO,3,142332823.68
HUANUCO,4,132711144.2
HUANUCO,5,123098844.55000001
HUANUCO,6,135019588.88
HUANUCO,7,168417128.23
HUANUCO,8,177775292.13000003
HUANUCO,9,209021818.53
HUANUCO,10,245546819.07
HUANUCO,11,249473106.81
HUANUCO,12,581640370.83
ICA,1,126033781.2
ICA,2,144069883.55
ICA,3,133370413.22
ICA,4,111796752.91
ICA,5,110231734.26999998
ICA,6,130997681.12
ICA,7,133430957.32
ICA,8,157927174.23
ICA,9,196167498.33
ICA,10,165478246.13000003
ICA,11,176786562.94
ICA,12,381605632.1
JUNIN,1,223743205.26000002
JUNIN,2,163179089.31
JUNIN,3,199366774.85
JUNIN,4,176008004.70000002
JUNIN,5,177053610.31
JUNIN,6,183098314.34999996
JUNIN,7,227884294.17999998
JUNIN,8,244347111.24
JUNIN,9,273343033.18
JUNIN,10,363264297.89000005
JUNIN,11,376403940.02
JUNIN,12,779413646.58
LA LIBERTAD,1,220149595.44000003
LA LIBERTAD,2,288217404.45
LA LIBERTAD,3,269437398.94
LA LIBERTAD,4,241111761.5
LA LIBERTAD,5,235969023.60999998
LA LIBERTAD,6,229633709.35000002
LA LIBERTAD,7,286523517.0
LA LIBERTAD,8,298357168.24
LA LIBERTAD,9,335115378.36
LA LIBERTAD,10,425474375.04
LA LIBERTAD,11,461532323.05
LA LIBERTAD,12,948883196.03
LAMBAYEQUE,1,139529990.92000002
LAMBAYEQUE,2,163891529.71
LAMBAYEQUE,3,181879291.48999998
