Departamento,Mes,Monto
AMAZONAS,1,78534302.08999999
AMAZONAS,2,74452766.92
AMAZONAS,3,93675694.52
AMAZONAS,4,101561552.97999999
AMAZONAS,5,99245140.83
AMAZONAS,6,132140385.27000001
AMAZONAS,7,132254318.47
AMAZONAS,8,110268357.00999999
AMAZONAS,9,116138004.55
AMAZONAS,10,140350385.44
AMAZONAS,11,139776892.36
AMAZONAS,12,232415822.86
ANCASH,1,149234769.76
ANCASH,2,193742228.23
ANCASH,3,242932957.12
ANCASH,4,265727749.09
ANCASH,5,242092978.94
ANCASH,6,249016625.51000002
ANCASH,7,291436521.73
ANCASH,8,285066217.02
ANCASH,9,286980158.42
ANCASH,10,305235908.94
ANCASH,11,383415445.25
ANCASH,12,608837783.71
APURIMAC,1,71467441.13
APURIMAC,2,91892391.7
APURIMAC,3,136381851.74
APURIMAC,4,126022772.03999999
APURIMAC,5,153888605.44
APURIMAC,6,157202234.18
APURIMAC,7,181397258.5
APURIMAC,8,157969460.43
APURIMAC,9,153950486.28
APURIMAC,10,168988412.60999998
APURIMAC,11,183483332.76000002
APURIMAC,12,324797873.17
AREQUIPA,1,184827756.12
AREQUIPA,2,225834329.78
AREQUIPA,3,276837563.37
AREQUIPA,4,277728906.11
AREQUIPA,5,292027574.08
AREQUIPA,6,277714461.33000004
AREQUIPA,7,356154824.89000005
AREQUIPA,8,370466371.04
AREQUIPA,9,316853844.77000004
AREQUIPA,10,353509357.5
AREQUIPA,11,390598151.21
AREQUIPA,12,665184166.43
AYACUCHO,1,97294612.21000001
AYACUCHO,2,124885666.42999999
AYACUCHO,3,156081224.0
AYACUCHO,4,162084827.94
AYACUCHO,5,186639781.12
AYACUCHO,6,205629333.92999998
AYACUCHO,7,219891399.57999998
AYACUCHO,8,182359026.55
AYACUCHO,9,184383740.24999997
AYACUCHO,10,246037004.73999998
AYACUCHO,11,237572038.58
AYACUCHO,12,514517208.83000004
CAJAMARCA,1,174512472.98000002
CAJAMARCA,2,216816338.28
CAJAMARCA,3,286112688.6
CAJAMARCA,4,260649011.35
CAJAMARCA,5,295883188.67
CAJAMARCA,6,286670932.81
CAJAMARCA,7,356160383.36
CAJAMARCA,8,306302436.68
CAJAMARCA,9,289574024.48
CAJAMARCA,10,296636533.37
CAJAMARCA,11,348482833.15
CAJAMARCA,12,521236283.53999996
CUSCO,1,181497431.3
CUSCO,2,275596229.51
CUSCO,3,335078869.01
CUSCO,4,324035964.52
CUSCO,5,404887868.03000003
CUSCO,6,381216116.14
CUSCO,7,483817491.08
CUSCO,8,408809061.89
CUSCO,9,428901334.12
CUSCO,10,506135544.63
CUSCO,11,492946423.20000005
CUSCO,12,844307719.5799999
HUANCAVELICA,1,67373742.97
HUANCAVELICA,2,83561947.44
HUANCAVELICA,3,103961395.32
HUANCAVELICA,4,112275472.23
HUANCAVELICA,5,125601220.44999999
HUANCAVELICA,6,151955951.75
HUANCAVELICA,7,154077203.09
HUANCAVELICA,8,147735074.25
HUANCAVELICA,9,145391477.28
HUANCAVELICA,10,144820251.33
HUANCAVELICA,11,161547153.13000003
HUANCAVELICA,12,249163913.20000002
HUANUCO,1,87147706.49000001
HUANUCO,2,112213774.11000001
HUANUCO,3,156968351.79
HUANUCO,4,150011029.13
HUANUCO,5,164472237.44
HUANUCO,6,181767664.98000002
HUANUCO,7,212658344.27
HUANUCO,8,159254054.4
HUANUCO,9,206023245.91
HUANUCO,10,210677511.9
HUANUCO,11,214172273.26
HUANUCO,12,391439503.25
ICA,1,103036451.21000001
ICA,2,107697661.53999999
ICA,3,127674789.41
ICA,4,128610796.21
ICA,5,133009911.38999999
ICA,6,130416302.6
ICA,7,169444838.10000002
ICA,8,129751430.83
ICA,9,145631405.48
ICA,10,149336385.2
ICA,11,167229892.99
ICA,12,265893097.79
JUNIN,1,148013923.3
JUNIN,2,175220854.33999997
JUNIN,3,191879218.47
JUNIN,4,200277354.31
JUNIN,5,236176161.45
JUNIN,6,253961818.07
JUNIN,7,298078288.94
JUNIN,8,245830258.45000002
JUNIN,9,255127823.33
JUNIN,10,288752543.46
JUNIN,11,286815728.46999997
JUNIN,12,485061432.21999997
LA LIBERTAD,1,178813722.8
LA LIBERTAD,2,259362966.14999998
LA LIBERTAD,3,246464745.70000002
LA LIBERTAD,4,249973352.54
LA LIBERTAD,5,280722030.54
LA LIBERTAD,6,308763321.48999995
LA LIBERTAD,7,316716362.09000003
LA LIBERTAD,8,293789423.38
LA LIBERTAD,9,279861050.27
LA LIBERTAD,10,305495385.76
