Departamento,Mes,Monto
AMAZONAS,1,58702521.559999995
AMAZONAS,2,80167862.05999999
AMAZONAS,3,82949006.04
AMAZONAS,4,105578059.14000002
AMAZONAS,5,96453852.84
AMAZONAS,6,111629686.42
AMAZONAS,7,113387513.07000001
AMAZONAS,8,122375239.97999999
AMAZONAS,9,129037576.07
AMAZONAS,10,129496720.42
AMAZONAS,11,115553542.39
AMAZONAS,12,248929493.88
ANCASH,1,131398170.44
ANCASH,2,186801998.25
ANCASH,3,249786008.36999997
ANCASH,4,310998084.35999995
ANCASH,5,224250338.63
ANCASH,6,335716080.7
ANCASH,7,265348147.89000002
ANCASH,8,259433623.96
ANCASH,9,316289111.44
ANCASH,10,278867211.72
ANCASH,11,290651601.35
ANCASH,12,545150834.32
APURIMAC,1,64020291.400000006
APURIMAC,2,93452069.6
APURIMAC,3,114761516.24
APURIMAC,4,128487460.99000001
APURIMAC,5,132489769.3
APURIMAC,6,171083816.6
APURIMAC,7,160671178.33
APURIMAC,8,151434779.54999998
APURIMAC,9,177105175.71
APURIMAC,10,168722310.36
APURIMAC,11,178441979.32000002
APURIMAC,12,349371794.42
AREQUIPA,1,154991382.54000002
AREQUIPA,2,266109776.04000002
AREQUIPA,3,275086033.21999997
AREQUIPA,4,307441997.22999996
AREQUIPA,5,297643445.53000003
AREQUIPA,6,328802355.78999996
AREQUIPA,7,348645034.65999997
AREQUIPA,8,281693262.78
AREQUIPA,9,324021949.78
AREQUIPA,10,296443583.65000004
AREQUIPA,11,336670373.49999994
AREQUIPA,12,581366968.6899999
AYACUCHO,1,97959497.12
AYACUCHO,2,138731820.33
AYACUCHO,3,156217178.18999997
AYACUCHO,4,191033108.14
AYACUCHO,5,172212787.53
AYACUCHO,6,208628462.23
AYACUCHO,7,208265549.41
AYACUCHO,8,200364987.95
AYACUCHO,9,248247621.73
AYACUCHO,10,232625697.02
AYACUCHO,11,230433240.15999997
AYACUCHO,12,513533134.94
CAJAMARCA,1,164576537.17000002
CAJAMARCA,2,229818408.62
CAJAMARCA,3,265150444.74999997
CAJAMARCA,4,275249901.65999997
CAJAMARCA,5,271079280.26
CAJAMARCA,6,343828504.31
CAJAMARCA,7,302210186.67
CAJAMARCA,8,282304194.94
CAJAMARCA,9,339774943.15999997
CAJAMARCA,10,313850072.51
CAJAMARCA,11,323984086.42
CAJAMARCA,12,590409560.87
CUSCO,1,152239107.92000002
CUSCO,2,241971719.24
CUSCO,3,328215354.53999996
CUSCO,4,386546676.53999996
CUSCO,5,388511141.07
CUSCO,6,457505472.28
CUSCO,7,423052380.22
CUSCO,8,430835034.02
CUSCO,9,485392346.66999996
CUSCO,10,469884106.99
CUSCO,11,497090541.25
CUSCO,12,891109947.0999999
HUANCAVELICA,1,67219116.87
HUANCAVELICA,2,83089132.22000001
HUANCAVELICA,3,103235391.8
HUANCAVELICA,4,120289606.69
HUANCAVELICA,5,116655223.98
HUANCAVELICA,6,179114095.41000003
HUANCAVELICA,7,130678600.04
HUANCAVELICA,8,138099122.75
HUANCAVELICA,9,161034822.92
HUANCAVELICA,10,140193255.95
HUANCAVELICA,11,161783915.3
HUANCAVELICA,12,324815209.8
HUANUCO,1,81260203.96000001
HUANUCO,2,114794941.58
HUANUCO,3,144934183.11
HUANUCO,4,171162290.14
HUANUCO,5,161564920.35
HUANUCO,6,177539149.96
HUANUCO,7,168786069.8
HUANUCO,8,171346365.56
HUANUCO,9,204113693.51999998
HUANUCO,10,197664036.44
HUANUCO,11,186692840.68
HUANUCO,12,450763685.0799999
ICA,1,95074090.49000001
