Departamento,Mes,Monto
AMAZONAS,1,43469133.28
AMAZONAS,2,58598230.58
AMAZONAS,3,84517747.64
AMAZONAS,4,82939979.28
AMAZONAS,5,91782793.57
AMAZONAS,6,89218712.12
AMAZONAS,7,109578379.47
AMAZONAS,8,90010194.17
AMAZONAS,9,83901094.16
AMAZONAS,10,81108370.81
AMAZONAS,11,95533815.44
AMAZONAS,12,223987320.25
ANCASH,1,112194626.57
ANCASH,2,132853057.95
ANCASH,3,206138945.44
ANCASH,4,176998469.23999998
ANCASH,5,176740945.69
ANCASH,6,180974848.12
ANCASH,7,209382213.48
ANCASH,8,180894819.36
ANCASH,9,186226867.05
ANCASH,10,169405160.08
ANCASH,11,186390844.84
ANCASH,12,402646635.3
APURIMAC,1,59985334.19
APURIMAC,2,88292518.63000001
APURIMAC,3,122426432.85
APURIMAC,4,108843680.33
APURIMAC,5,156756738.01000002
APURIMAC,6,124809061.75
APURIMAC,7,123638895.13999999
APURIMAC,8,115741487.75
APURIMAC,9,121619116.22
APURIMAC,10,124897100.08
APURIMAC,11,126816319.99999999
APURIMAC,12,270015338.28000003
AREQUIPA,1,133785154.73
AREQUIPA,2,175829738.99
AREQUIPA,3,238608263.51000002
AREQUIPA,4,200662329.43
AREQUIPA,5,250341076.55999997
AREQUIPA,6,240415636.63
AREQUIPA,7,273778132.91
AREQUIPA,8,257129783.17000002
AREQUIPA,9,286741157.96
AREQUIPA,10,197106433.20999998
AREQUIPA,11,291427125.78000003
AREQUIPA,12,559274134.99
AYACUCHO,1,92003878.86000001
AYACUCHO,2,107785639.07
AYACUCHO,3,142924269.55
AYACUCHO,4,141777962.85999998
AYACUCHO,5,147917116.13000003
AYACUCHO,6,151739895.36
AYACUCHO,7,188501374.49
AYACUCHO,8,145095485.94
AYACUCHO,9,176039098.39
AYACUCHO,10,144319819.37
AYACUCHO,11,174985816.62
AYACUCHO,12,405763217.51
CAJAMARCA,1,149489344.34
CAJAMARCA,2,170473825.79
CAJAMARCA,3,235717721.85
CAJAMARCA,4,230654400.93
CAJAMARCA,5,216113721.5
CAJAMARCA,6,234658151.27
CAJAMARCA,7,276596197.46999997
CAJAMARCA,8,244764838.51
CAJAMARCA,9,301549039.49
CAJAMARCA,10,196724592.56
CAJAMARCA,11,288980334.22999996
CAJAMARCA,12,530634861.06
CUSCO,1,141090756.78
CUSCO,2,251038999.18
CUSCO,3,380409099.94
CUSCO,4,333364251.3
CUSCO,5,358631070.34000003
CUSCO,6,404985965.61
CUSCO,7,420195955.79
CUSCO,8,351722721.53
CUSCO,9,357634082.11
CUSCO,10,322683772.36
CUSCO,11,358244286.57000005
CUSCO,12,617951585.12
HUANCAVELICA,1,50074675.08
HUANCAVELICA,2,66142005.55
HUANCAVELICA,3,105792583.28
HUANCAVELICA,4,89453302.82000001
HUANCAVELICA,5,113936175.63
HUANCAVELICA,6,124873820.81
HUANCAVELICA,7,118390672.1
HUANCAVELICA,8,108153542.05000001
HUANCAVELICA,9,125477295.66000001
HUANCAVELICA,10,106106550.3
HUANCAVELICA,11,121597352.64999999
HUANCAVELICA,12,301434515.86
HUANUCO,1,65526890.04
HUANUCO,2,102436371.24999999
HUANUCO,3,123863368.11999999
HUANUCO,4,118592222.87
HUANUCO,5,136825162.97
HUANUCO,6,129695286.96000001
HUANUCO,7,149756561.02
HUANUCO,8,139449634.51
HUANUCO,9,163023329.56
HUANUCO,10,141234608.89000002
HUANUCO,11,182723513.13000003
HUANUCO,12,393738764.00000006
ICA,1,90155743.60000001
ICA,2,113825677.75
ICA,3,135484976.07
ICA,4,114457893.75
ICA,5,116675571.54
ICA,6,112747889.38999999
ICA,7,158527614.78
ICA,8,113680089.84
ICA,9,125718444.36
ICA,10,107333006.28999999
ICA,11,121295760.78
ICA,12,221564638.45000002
JUNIN,1,110001763.08
JUNIN,2,129995681.22999999
JUNIN,3,182469251.95000002
JUNIN,4,184028006.19
JUNIN,5,182508283.95999998
JUNIN,6,198744094.51
JUNIN,7,257026974.06
JUNIN,8,202560048.39000002
JUNIN,9,226687905.53
JUNIN,10,192881755.57
JUNIN,11,217415295.27999997
JUNIN,12,526688768.4
LA LIBERTAD,1,151665278.01999998
LA LIBERTAD,2,367180615.69
LA LIBERTAD,3,231170685.96
LA LIBERTAD,4,240964080.18
LA LIBERTAD,5,297107555.84000003
LA LIBERTAD,6,260048166.14
LA LIBERTAD,7,264095162.62
LA LIBERTAD,8,319105776.95
LA LIBERTAD,9,248466668.85
LA LIBERTAD,10,239800644.48000002
LA LIBERTAD,11,356842266.22
LA LIBERTAD,12,557120054.61
LAMBAYEQUE,1,111437678.29
LAMBAYEQUE,2,117453226.34
LAMBAYEQUE,3,168872267.07
