Departamento,Mes,Monto
AMAZONAS,1,92397105.98
AMAZONAS,2,97702270.13
AMAZONAS,3,136987617.12
AMAZONAS,4,119731712.64
AMAZONAS,5,122947825.01
AMAZONAS,6,132185421.25
AMAZONAS,7,149130869.86
AMAZONAS,8,139351378.79999998
AMAZONAS,9,152713898.8
AMAZONAS,10,137761094.31
AMAZONAS,11,154070978.67
AMAZONAS,12,365253549.83
ANCASH,1,176843634.0
ANCASH,2,235415992.29
ANCASH,3,356667606.71999997
ANCASH,4,296017398.23999995
ANCASH,5,335898921.37999994
ANCASH,6,345443194.14
ANCASH,7,403499995.58000004
ANCASH,8,372389094.01
ANCASH,9,391622187.4
ANCASH,10,380158400.88
ANCASH,11,387602947.34000003
ANCASH,12,862418777.42
APURIMAC,1,82214145.81
APURIMAC,2,113702147.44999999
APURIMAC,3,169474693.64
APURIMAC,4,139382326.24
APURIMAC,5,161045827.19
APURIMAC,6,175069133.41
APURIMAC,7,174795234.14
APURIMAC,8,168819126.57999998
APURIMAC,9,190243741.06
APURIMAC,10,185381302.75
APURIMAC,11,198873606.78
APURIMAC,12,458753207.58
AREQUIPA,1,203896981.16
AREQUIPA,2,336022378.61
AREQUIPA,3,354795624.37
AREQUIPA,4,351119507.27
AREQUIPA,5,352557375.64000005
AREQUIPA,6,374627785.79999995
AREQUIPA,7,381175502.12999994
AREQUIPA,8,386205671.36
AREQUIPA,9,530495672.83
AREQUIPA,10,373921289.28999996
AREQUIPA,11,378386173.18
AREQUIPA,12,883386510.4900001
AYACUCHO,1,131387000.78
AYACUCHO,2,150561571.29999998
AYACUCHO,3,253616672.5
AYACUCHO,4,196358780.67000002
AYACUCHO,5,240711341.04
AYACUCHO,6,258227715.42
AYACUCHO,7,268717318.82
AYACUCHO,8,266565834.68
AYACUCHO,9,261204433.96
AYACUCHO,10,255142952.28
AYACUCHO,11,259633310.73000002
AYACUCHO,12,644604707.4
CAJAMARCA,1,218001802.73999998
CAJAMARCA,2,305348019.55999994
CAJAMARCA,3,443186960.65000004
