Departamento,Gasto_Total
AMAZONAS,1394261073.8700006
ANCASH,3394691211.4300003
APURIMAC,1890042141.8200002
AREQUIPA,3798916163.41
AYACUCHO,2598253084.7500005
CAJAMARCA,3702236121.339999
CUSCO,5152353827.84
HUANCAVELICA,1726207493.73
HUANUCO,2230622380.1800003
ICA,1838341151.5600002
JUNIN,3002478124.120001
LA LIBERTAD,3928030656.95
LAMBAYEQUE,2289560260.7599998
LIMA,101347810789.01001
LORETO,2750232936.0999994
MADRE DE DIOS,553419040.8900001
MOQUEGUA,925228458.76
PASCO,1053193643.2900002
PIURA,4227684405.2799997
PROVINCIA CONSTITUCIONAL DEL CALLAO,4190370309.18
PUNO,3151672952.8200006
SAN MARTIN,2287337096.970001
TACNA,1145183359.96
TUMBES,734727606.2800001
UCAYALI,1766258039.0899997
