Departamento,Gasto_Total
AMAZONAS,1329410400.7799995
ANCASH,2767996037.8100004
APURIMAC,1676273201.2099998
AREQUIPA,3613858446.57
AYACUCHO,2266508216.6600003
CAJAMARCA,3584678135.67
CUSCO,4191641333.46
HUANCAVELICA,1663316314.1900003
HUANUCO,2044922800.76
ICA,1636457782.0799997
JUNIN,2939699750.6699996
LA LIBERTAD,3497239999.83
LAMBAYEQUE,2147910484.32
LIMA,95982244483.01001
LORETO,2442694914.98
MADRE DE DIOS,450775424.3500001
MOQUEGUA,913388310.4200001
PASCO,944579215.2
PIURA,3397841631.8400006
PROVINCIA CONSTITUCIONAL DEL CALLAO,4213295079.4399996
PUNO,3003645274.4299994
SAN MARTIN,2170546498.9399996
TACNA,1056257666.15
TUMBES,696904730.71
UCAYALI,1347131976.64
