Departamento,Gasto_Total
AMAZONAS,1800233722.3999999
ANCASH,4543978149.4
APURIMAC,2217754492.63
AREQUIPA,4906590472.13
AYACUCHO,3186731639.5800004
CAJAMARCA,4984126398.230001
CUSCO,6131693269.19
HUANCAVELICA,2104353232.4900002
HUANUCO,2586760781.27
ICA,2317460619.56
JUNIN,3777805490.6899996
LA LIBERTAD,4842608577.32
LAMBAYEQUE,2831017067.5800004
LIMA,125813057488.40001
LORETO,3452325473.78
MADRE DE DIOS,627480703.6100001
MOQUEGUA,1193316352.81
PASCO,1088222544.97
PIURA,5325394262.57
PROVINCIA CONSTITUCIONAL DEL CALLAO,4242552430.5299997
PUNO,3829584499.409999
SAN MARTIN,2782987272.6200004
TACNA,1636661341.9900002
TUMBES,889142712.2
UCAYALI,1710049409.3999999
