Departamento,Gasto_Total
AMAZONAS,1038286109.2600002
ANCASH,2085970428.94
APURIMAC,1278947722.57
AREQUIPA,2671285699.4100003
AYACUCHO,2096319345.4400003
CAJAMARCA,2771900737.5699997
CUSCO,4333036524.0199995
HUANCAVELICA,1344841690.86
HUANUCO,1636941386.0099998
ICA,1584238220.12
JUNIN,2373440731.7599998
LA LIBERTAD,3179812860.27
LAMBAYEQUE,1932191728.1999998
LIMA,87878763189.43001
LORETO,1961893877.3700004
MADRE DE DIOS,362919244.21
MOQUEGUA,743591606.6
PASCO,850651360.43
PIURA,3056573260.04
PROVINCIA CONSTITUCIONAL DEL CALLAO,4695631765.969999
PUNO,2495383792.28
SAN MARTIN,2062969863.0500002
TACNA,917409355.8199999
TUMBES,764652243.5099999
UCAYALI,1038561071.3
